Código;Nombre común;Nombre científico;Tipo de planta;polinizacion;nivel_alergenico;toxicidad_mascotas;tipo_hoja;Estado
ST-072;;Semele androgyna;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-343;;Sempervivum arachnoideum;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-344;;Sempervivum tectorum;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-296;;Senecio crassissimus;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-299;;Senecio scaposus;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-372;;Sorghum bicolor;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-398;;Solanum mauritianum;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
TR-407;;Solanum muricatum;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
TR-408;;Solanum quitoense;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
TR-404;;Solanum seaforthianum;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
ST-229;;Soleirolia soleirolii;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-099;;Sonchus canariensis;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-161;;Sparmannia africana;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-042;;Spondias dulcis;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-038;;Stapelia leendertziae f. cristata;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-039;;Stapelia variegata;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
CA-273;;Stenocactus crispatus f. lamellosus;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-275;;Stenocereus alamosensis;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-276;;Stenocereus pruinosus;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
